,p_5,p_10,p_15,p_20,p_25,p_30,p_35,p_40,p_45,p_50,p_55,p_60,p_65,p_70,p_75,p_80,p_85,p_90,p_95
86,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.66
87,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.6604999999999995
88,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.6604999999999995
89,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.67
90,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.67
91,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.47000000000000003,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.67
92,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.47600000000000026,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5800000000000001,0.61,0.63,0.6604999999999995
93,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5820000000000005,0.61,0.63,0.67
94,0.33,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.5820000000000005,0.61,0.63,0.67
95,0.32950000000000007,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.6604999999999995
96,0.32950000000000007,0.35000000000000003,0.39,0.4,0.43,0.44,0.46,0.48000000000000004,0.49,0.5,0.51,0.53,0.54,0.55,0.56,0.59,0.61,0.63,0.67
